month,department,account,account_type,budget,actual
2024-07,Marketing,Advertising & Media,expense,175610.0,188405.0
2024-08,Marketing,Advertising & Media,expense,175610.0,181474.0
2024-09,Marketing,Advertising & Media,expense,195122.0,196027.0
2024-10,Marketing,Advertising & Media,expense,234146.0,257120.0
2024-11,Marketing,Advertising & Media,expense,263415.0,302289.0
2024-12,Marketing,Advertising & Media,expense,292683.0,368651.0
2025-01,Marketing,Advertising & Media,expense,171707.0,186451.0
2025-02,Marketing,Advertising & Media,expense,171707.0,193037.0
2025-03,Marketing,Advertising & Media,expense,193171.0,204284.0
2025-04,Marketing,Advertising & Media,expense,193171.0,198324.0
2025-05,Marketing,Advertising & Media,expense,203902.0,211359.0
2025-06,Marketing,Advertising & Media,expense,236098.0,247280.0
2025-07,Marketing,Advertising & Media,expense,193171.0,227127.0
2025-08,Marketing,Advertising & Media,expense,193171.0,201484.0
2025-09,Marketing,Advertising & Media,expense,214634.0,239903.0
2025-10,Marketing,Advertising & Media,expense,257561.0,278003.0
2025-11,Marketing,Advertising & Media,expense,289756.0,345366.0
2025-12,Marketing,Advertising & Media,expense,321951.0,385480.0
2024-01,Marketing,Events & Sponsorships,expense,30000.0,31289.0
2024-02,Marketing,Events & Sponsorships,expense,35000.0,36686.0
2024-03,Marketing,Events & Sponsorships,expense,55000.0,56129.0
2024-04,Marketing,Events & Sponsorships,expense,65000.0,69555.0
2024-05,Marketing,Events & Sponsorships,expense,60000.0,61772.0
2024-06,Marketing,Events & Sponsorships,expense,45000.0,44768.0
2024-07,Marketing,Events & Sponsorships,expense,30000.0,29775.0
2024-08,Marketing,Events & Sponsorships,expense,35000.0,37022.0
2024-09,Marketing,Events & Sponsorships,expense,60000.0,67264.0
2024-10,Marketing,Events & Sponsorships,expense,70000.0,102004.0
2024-11,Marketing,Events & Sponsorships,expense,65000.0,67903.0
2024-12,Marketing,Events & Sponsorships,expense,50000.0,53143.0
2025-01,Marketing,Events & Sponsorships,expense,33000.0,36589.0
2025-02,Marketing,Events & Sponsorships,expense,38500.0,40805.0
2025-03,Marketing,Events & Sponsorships,expense,60500.0,62406.0
2025-04,Marketing,Events & Sponsorships,expense,71500.0,78634.0
2025-05,Marketing,Events & Sponsorships,expense,66000.0,70573.0
2025-06,Marketing,Events & Sponsorships,expense,49500.0,55396.0
2025-07,Marketing,Events & Sponsorships,expense,33000.0,34922.0
2025-08,Marketing,Events & Sponsorships,expense,38500.0,38304.0
2025-09,Marketing,Events & Sponsorships,expense,66000.0,65237.0
2025-10,Marketing,Events & Sponsorships,expense,77000.0,86570.0
2025-11,Marketing,Events & Sponsorships,expense,71500.0,80621.0
2025-12,Marketing,Events & Sponsorships,expense,55000.0,57306.0
2024-01,Marketing,Software & Subscriptions,expense,25000.0,24569.0
2024-02,Marketing,Software & Subscriptions,expense,25000.0,26644.0
2024-03,Marketing,Software & Subscriptions,expense,25000.0,23755.0
2024-04,Marketing,Software & Subscriptions,expense,25000.0,23993.0
2024-05,Marketing,Software & Subscriptions,expense,25000.0,25724.0
2024-06,Marketing,Software & Subscriptions,expense,25000.0,24556.0
2024-07,Marketing,Software & Subscriptions,expense,25000.0,24994.0
2024-08,Marketing,Software & Subscriptions,expense,25000.0,24816.0
2024-09,Marketing,Software & Subscriptions,expense,25000.0,25380.0
2024-10,Marketing,Software & Subscriptions,expense,25000.0,26583.0
2024-11,Marketing,Software & Subscriptions,expense,25000.0,25102.0
2024-12,Marketing,Software & Subscriptions,expense,25000.0,25724.0
2025-01,Marketing,Software & Subscriptions,expense,27500.0,24963.0
2025-02,Marketing,Software & Subscriptions,expense,27500.0,27440.0
2025-03,Marketing,Software & Subscriptions,expense,27500.0,26457.0
2025-04,Marketing,Software & Subscriptions,expense,27500.0,25992.0
2025-05,Marketing,Software & Subscriptions,expense,27500.0,26413.0
2025-06,Marketing,Software & Subscriptions,expense,27500.0,27087.0
2025-07,Marketing,Software & Subscriptions,expense,27500.0,28633.0
2025-08,Marketing,Software & Subscriptions,expense,27500.0,25859.0
2025-09,Marketing,Software & Subscriptions,expense,27500.0,27538.0
2025-10,Marketing,Software & Subscriptions,expense,27500.0,26901.0
2025-11,Marketing,Software & Subscriptions,expense,27500.0,27095.0
2025-12,Marketing,Software & Subscriptions,expense,27500.0,28741.0
2024-01,Marketing,Travel & Entertainment,expense,9000.0,9218.0
2024-02,Marketing,Travel & Entertainment,expense,13500.0,14312.0
2024-03,Marketing,Travel & Entertainment,expense,16500.0,16385.0
2024-04,Marketing,Travel & Entertainment,expense,17250.0,16710.0
2024-05,Marketing,Travel & Entertainment,expense,17250.0,17076.0
2024-06,Marketing,Travel & Entertainment,expense,16500.0,16680.0
2024-07,Marketing,Travel & Entertainment,expense,14250.0,14363.0
2024-08,Marketing,Travel & Entertainment,expense,13500.0,12841.0
2024-09,Marketing,Travel & Entertainment,expense,18000.0,18073.0
2024-10,Marketing,Travel & Entertainment,expense,18000.0,18185.0
2024-11,Marketing,Travel & Entertainment,expense,15750.0,17534.0
2024-12,Marketing,Travel & Entertainment,expense,10500.0,11387.0
2025-01,Marketing,Travel & Entertainment,expense,9900.0,9520.0
2025-02,Marketing,Travel & Entertainment,expense,14850.0,14658.0
2025-03,Marketing,Travel & Entertainment,expense,18150.0,16955.0
2025-04,Marketing,Travel & Entertainment,expense,18975.0,18471.0
2025-05,Marketing,Travel & Entertainment,expense,18975.0,19244.0
2025-06,Marketing,Travel & Entertainment,expense,18150.0,19135.0
2025-07,Marketing,Travel & Entertainment,expense,15675.0,15161.0
2025-08,Marketing,Travel & Entertainment,expense,14850.0,14413.0
2025-09,Marketing,Travel & Entertainment,expense,19800.0,17887.0
2025-10,Marketing,Travel & Entertainment,expense,19800.0,19655.0
2025-11,Marketing,Travel & Entertainment,expense,17325.0,16497.0
2025-12,Marketing,Travel & Entertainment,expense,11550.0,11275.0
2024-01,Engineering,Salaries & Benefits,expense,516667.0,474341.0
2024-02,Engineering,Salaries & Benefits,expense,516667.0,484449.0
2024-03,Engineering,Salaries & Benefits,expense,516667.0,462963.0
2024-04,Engineering,Salaries & Benefits,expense,516667.0,466717.0
2024-05,Engineering,Salaries & Benefits,expense,516667.0,513169.0
2024-06,Engineering,Salaries & Benefits,expense,516667.0,469037.0
2024-07,Engineering,Salaries & Benefits,expense,516667.0,471500.0
2024-08,Engineering,Salaries & Benefits,expense,516667.0,509393.0
2024-09,Engineering,Salaries & Benefits,expense,516667.0,523190.0
2024-10,Engineering,Salaries & Benefits,expense,516667.0,470534.0
2024-11,Engineering,Salaries & Benefits,expense,516667.0,480910.0
2024-12,Engineering,Salaries & Benefits,expense,516667.0,490078.0
2025-01,Engineering,Salaries & Benefits,expense,563167.0,553715.0
2025-02,Engineering,Salaries & Benefits,expense,563167.0,515483.0
2025-03,Engineering,Salaries & Benefits,expense,563167.0,525923.0
2025-04,Engineering,Salaries & Benefits,expense,563167.0,540321.0
2025-05,Engineering,Salaries & Benefits,expense,563167.0,535498.0
2025-06,Engineering,Salaries & Benefits,expense,563167.0,524081.0
2025-07,Engineering,Salaries & Benefits,expense,563167.0,527493.0
2025-08,Engineering,Salaries & Benefits,expense,563167.0,510019.0
2025-09,Engineering,Salaries & Benefits,expense,563167.0,526023.0
2025-10,Engineering,Salaries & Benefits,expense,563167.0,525626.0
2025-11,Engineering,Salaries & Benefits,expense,563167.0,532645.0
2025-12,Engineering,Salaries & Benefits,expense,563167.0,521558.0
2024-01,Engineering,Contractors,expense,75000.0,84091.0
2024-02,Engineering,Contractors,expense,75000.0,85918.0
2024-03,Engineering,Contractors,expense,75000.0,83025.0
2024-04,Engineering,Contractors,expense,75000.0,83687.0
2024-05,Engineering,Contractors,expense,75000.0,82679.0
2024-06,Engineering,Contractors,expense,75000.0,82500.0
2024-07,Engineering,Contractors,expense,75000.0,80065.0
2024-08,Engineering,Contractors,expense,75000.0,83568.0
2024-09,Engineering,Contractors,expense,75000.0,82172.0
2024-10,Engineering,Contractors,expense,75000.0,89564.0
2024-11,Engineering,Contractors,expense,75000.0,87810.0
2024-12,Engineering,Contractors,expense,75000.0,83802.0
2025-01,Engineering,Contractors,expense,81750.0,87118.0
2025-02,Engineering,Contractors,expense,81750.0,85833.0
2025-03,Engineering,Contractors,expense,81750.0,94307.0
2025-04,Engineering,Contractors,expense,81750.0,90892.0
2025-05,Engineering,Contractors,expense,81750.0,91691.0
2025-06,Engineering,Contractors,expense,81750.0,83507.0
2025-07,Engineering,Contractors,expense,81750.0,93337.0
2025-08,Engineering,Contractors,expense,81750.0,91597.0
2025-09,Engineering,Contractors,expense,81750.0,85840.0
2025-10,Engineering,Contractors,expense,81750.0,88190.0
2025-11,Engineering,Contractors,expense,81750.0,90895.0
2025-12,Engineering,Contractors,expense,81750.0,90118.0
2024-01,Engineering,Cloud & Infrastructure,expense,116667.0,119799.0
2024-02,Engineering,Cloud & Infrastructure,expense,116667.0,120790.0
2024-03,Engineering,Cloud & Infrastructure,expense,116667.0,120010.0
2024-04,Engineering,Cloud & Infrastructure,expense,116667.0,122134.0
2024-05,Engineering,Cloud & Infrastructure,expense,116667.0,129059.0
2024-06,Engineering,Cloud & Infrastructure,expense,116667.0,107858.0
2024-07,Engineering,Cloud & Infrastructure,expense,116667.0,120090.0
2024-08,Engineering,Cloud & Infrastructure,expense,116667.0,122260.0
2024-09,Engineering,Cloud & Infrastructure,expense,116667.0,122887.0
2024-10,Engineering,Cloud & Infrastructure,expense,116667.0,119381.0
2024-11,Engineering,Cloud & Infrastructure,expense,116667.0,112111.0
2024-12,Engineering,Cloud & Infrastructure,expense,116667.0,123055.0
2025-01,Engineering,Cloud & Infrastructure,expense,127167.0,142138.0
2025-02,Engineering,Cloud & Infrastructure,expense,127167.0,123476.0
2025-03,Engineering,Cloud & Infrastructure,expense,127167.0,137197.0
2025-04,Engineering,Cloud & Infrastructure,expense,127167.0,130373.0
2025-05,Engineering,Cloud & Infrastructure,expense,127167.0,170052.0
2025-06,Engineering,Cloud & Infrastructure,expense,127167.0,126228.0
2025-07,Engineering,Cloud & Infrastructure,expense,127167.0,130339.0
2025-08,Engineering,Cloud & Infrastructure,expense,127167.0,139693.0
2025-09,Engineering,Cloud & Infrastructure,expense,127167.0,135588.0
2025-10,Engineering,Cloud & Infrastructure,expense,127167.0,142166.0
2025-11,Engineering,Cloud & Infrastructure,expense,127167.0,138991.0
2025-12,Engineering,Cloud & Infrastructure,expense,127167.0,134766.0
2024-01,Engineering,Software & Subscriptions,expense,40000.0,43139.0
2024-02,Engineering,Software & Subscriptions,expense,40000.0,40790.0
2024-03,Engineering,Software & Subscriptions,expense,40000.0,41490.0
2024-04,Engineering,Software & Subscriptions,expense,40000.0,39466.0
2024-05,Engineering,Software & Subscriptions,expense,40000.0,40120.0
2024-06,Engineering,Software & Subscriptions,expense,40000.0,38745.0
2024-07,Engineering,Software & Subscriptions,expense,40000.0,41781.0
2024-08,Engineering,Software & Subscriptions,expense,40000.0,37879.0
2024-09,Engineering,Software & Subscriptions,expense,40000.0,41408.0
2024-10,Engineering,Software & Subscriptions,expense,40000.0,39657.0
2024-11,Engineering,Software & Subscriptions,expense,40000.0,42108.0
2024-12,Engineering,Software & Subscriptions,expense,40000.0,41352.0
2025-01,Engineering,Software & Subscriptions,expense,43600.0,47172.0
2025-02,Engineering,Software & Subscriptions,expense,43600.0,45034.0
2025-03,Engineering,Software & Subscriptions,expense,43600.0,40516.0
2025-04,Engineering,Software & Subscriptions,expense,43600.0,43469.0
2025-05,Engineering,Software & Subscriptions,expense,43600.0,41301.0
2025-06,Engineering,Software & Subscriptions,expense,43600.0,42583.0
2025-07,Engineering,Software & Subscriptions,expense,43600.0,46565.0
2025-08,Engineering,Software & Subscriptions,expense,43600.0,44851.0
2025-09,Engineering,Software & Subscriptions,expense,43600.0,42229.0
2025-10,Engineering,Software & Subscriptions,expense,43600.0,41611.0
2025-11,Engineering,Software & Subscriptions,expense,43600.0,43664.0
2025-12,Engineering,Software & Subscriptions,expense,43600.0,41213.0
2024-01,Engineering,Travel & Entertainment,expense,6000.0,5819.0
2024-02,Engineering,Travel & Entertainment,expense,9000.0,9126.0
2024-03,Engineering,Travel & Entertainment,expense,11000.0,11572.0
2024-04,Engineering,Travel & Entertainment,expense,11500.0,11815.0
2024-05,Engineering,Travel & Entertainment,expense,11500.0,10314.0
2024-06,Engineering,Travel & Entertainment,expense,11000.0,11151.0
2024-07,Engineering,Travel & Entertainment,expense,9500.0,9531.0
2024-08,Engineering,Travel & Entertainment,expense,9000.0,9168.0
2024-09,Engineering,Travel & Entertainment,expense,12000.0,12873.0
2024-10,Engineering,Travel & Entertainment,expense,12000.0,10886.0
2024-11,Engineering,Travel & Entertainment,expense,10500.0,10221.0
2024-12,Engineering,Travel & Entertainment,expense,7000.0,7186.0
2025-01,Engineering,Travel & Entertainment,expense,6540.0,6075.0
2025-02,Engineering,Travel & Entertainment,expense,9810.0,10462.0
2025-03,Engineering,Travel & Entertainment,expense,11990.0,12189.0
2025-04,Engineering,Travel & Entertainment,expense,12535.0,13013.0
2025-05,Engineering,Travel & Entertainment,expense,12535.0,12213.0
2025-06,Engineering,Travel & Entertainment,expense,11990.0,12429.0
2025-07,Engineering,Travel & Entertainment,expense,10355.0,10853.0
2025-08,Engineering,Travel & Entertainment,expense,9810.0,9913.0
2025-09,Engineering,Travel & Entertainment,expense,13080.0,13218.0
2025-10,Engineering,Travel & Entertainment,expense,13080.0,13239.0
2025-11,Engineering,Travel & Entertainment,expense,11445.0,11000.0
2025-12,Engineering,Travel & Entertainment,expense,7630.0,7579.0
2024-01,Operations,Salaries & Benefits,expense,175000.0,174333.0
2024-02,Operations,Salaries & Benefits,expense,175000.0,176677.0
2024-03,Operations,Salaries & Benefits,expense,175000.0,179374.0
2024-04,Operations,Salaries & Benefits,expense,175000.0,170369.0
2024-05,Operations,Salaries & Benefits,expense,175000.0,174453.0
2024-06,Operations,Salaries & Benefits,expense,175000.0,181481.0
2024-07,Operations,Salaries & Benefits,expense,175000.0,171747.0
2024-08,Operations,Salaries & Benefits,expense,175000.0,171403.0
2024-09,Operations,Salaries & Benefits,expense,175000.0,175885.0
2024-10,Operations,Salaries & Benefits,expense,175000.0,178694.0
2024-11,Operations,Salaries & Benefits,expense,175000.0,175050.0
2024-12,Operations,Salaries & Benefits,expense,175000.0,180814.0
2025-01,Operations,Salaries & Benefits,expense,185500.0,189473.0
2025-02,Operations,Salaries & Benefits,expense,185500.0,189404.0
2025-03,Operations,Salaries & Benefits,expense,185500.0,188070.0
2025-04,Operations,Salaries & Benefits,expense,185500.0,196294.0
2025-05,Operations,Salaries & Benefits,expense,185500.0,184549.0
2025-06,Operations,Salaries & Benefits,expense,185500.0,176209.0
2025-07,Operations,Salaries & Benefits,expense,185500.0,192940.0
2025-08,Operations,Salaries & Benefits,expense,185500.0,183377.0
2025-09,Operations,Salaries & Benefits,expense,185500.0,186000.0
2025-10,Operations,Salaries & Benefits,expense,185500.0,191573.0
2025-11,Operations,Salaries & Benefits,expense,185500.0,178070.0
2025-12,Operations,Salaries & Benefits,expense,185500.0,179695.0
2024-01,Operations,Facilities & Rent,expense,91667.0,87997.0
2024-02,Operations,Facilities & Rent,expense,91667.0,89847.0
2024-03,Operations,Facilities & Rent,expense,91667.0,92674.0
2024-04,Operations,Facilities & Rent,expense,91667.0,92868.0
2024-05,Operations,Facilities & Rent,expense,91667.0,92300.0
2024-06,Operations,Facilities & Rent,expense,91667.0,88429.0
2024-07,Operations,Facilities & Rent,expense,91667.0,86373.0
2024-08,Operations,Facilities & Rent,expense,91667.0,91791.0
2024-09,Operations,Facilities & Rent,expense,91667.0,90586.0
2024-10,Operations,Facilities & Rent,expense,91667.0,92719.0
2024-11,Operations,Facilities & Rent,expense,91667.0,93275.0
2024-12,Operations,Facilities & Rent,expense,91667.0,91983.0
2025-01,Operations,Facilities & Rent,expense,97167.0,99013.0
2025-02,Operations,Facilities & Rent,expense,97167.0,97723.0
2025-03,Operations,Facilities & Rent,expense,97167.0,132463.0
2025-04,Operations,Facilities & Rent,expense,97167.0,95455.0
2025-05,Operations,Facilities & Rent,expense,97167.0,96730.0
2025-06,Operations,Facilities & Rent,expense,97167.0,97645.0
2025-07,Operations,Facilities & Rent,expense,97167.0,99160.0
2025-08,Operations,Facilities & Rent,expense,97167.0,96210.0
2025-09,Operations,Facilities & Rent,expense,97167.0,98433.0
2025-10,Operations,Facilities & Rent,expense,97167.0,96521.0
2025-11,Operations,Facilities & Rent,expense,97167.0,96881.0
2025-12,Operations,Facilities & Rent,expense,97167.0,99182.0
2024-01,Operations,Logistics & Fulfillment,expense,66667.0,64021.0
2024-02,Operations,Logistics & Fulfillment,expense,66667.0,66111.0
2024-03,Operations,Logistics & Fulfillment,expense,66667.0,65553.0
2024-04,Operations,Logistics & Fulfillment,expense,66667.0,62999.0
2024-05,Operations,Logistics & Fulfillment,expense,66667.0,67965.0
2024-06,Operations,Logistics & Fulfillment,expense,66667.0,72248.0
2024-07,Operations,Logistics & Fulfillment,expense,66667.0,69145.0
2024-08,Operations,Logistics & Fulfillment,expense,66667.0,70593.0
2024-09,Operations,Logistics & Fulfillment,expense,66667.0,73268.0
2024-10,Operations,Logistics & Fulfillment,expense,66667.0,73983.0
2024-11,Operations,Logistics & Fulfillment,expense,66667.0,69793.0
2024-12,Operations,Logistics & Fulfillment,expense,66667.0,74061.0
2025-01,Operations,Logistics & Fulfillment,expense,70667.0,74493.0
2025-02,Operations,Logistics & Fulfillment,expense,70667.0,71537.0
2025-03,Operations,Logistics & Fulfillment,expense,70667.0,72310.0
2025-04,Operations,Logistics & Fulfillment,expense,70667.0,69492.0
2025-05,Operations,Logistics & Fulfillment,expense,70667.0,71376.0
2025-06,Operations,Logistics & Fulfillment,expense,70667.0,73062.0
2025-07,Operations,Logistics & Fulfillment,expense,70667.0,76755.0
2025-08,Operations,Logistics & Fulfillment,expense,70667.0,79672.0
2025-09,Operations,Logistics & Fulfillment,expense,70667.0,69805.0
2025-10,Operations,Logistics & Fulfillment,expense,70667.0,75449.0
2025-11,Operations,Logistics & Fulfillment,expense,70667.0,70891.0
2025-12,Operations,Logistics & Fulfillment,expense,70667.0,75710.0
2024-01,Operations,Software & Subscriptions,expense,12500.0,12426.0
2024-02,Operations,Software & Subscriptions,expense,12500.0,11470.0
2024-03,Operations,Software & Subscriptions,expense,12500.0,13022.0
2024-04,Operations,Software & Subscriptions,expense,12500.0,12160.0
2024-05,Operations,Software & Subscriptions,expense,12500.0,12200.0
